#Table1
objid,ra,dec,u,g,r,i,z,first_ra,first_dec,integr
1237667254014248252,180.83043117092,29.9043217554526,23.21706,23.05246,22.33258,22.40978,21.48211,0,0,0
1237667211601576098,180.819782695566,29.934615078911,21.2733,20.24533,19.89702,19.75541,19.82139,0,0,0
1237667211601576618,180.820008597134,29.9530774992578,23.49162,22.22055,21.21072,21.08648,20.79064,0,0,0
1237667211601576622,180.820102249908,29.9981287086727,24.0086,23.13825,22.17141,21.61031,21.51605,0,0,0
1237667211601641854,180.912274844531,29.9573663756478,22.88424,22.73509,20.92644,20.00447,19.5505,0,0,0
1237667211601641859,180.913822510295,29.986950864231,23.59768,22.93704,22.13768,22.05314,22.16716,0,0,0
1237667211601642418,180.912917600368,29.9417519051195,22.90388,23.06711,21.69715,22.28924,23.80709,0,0,0
1237667211601642419,180.913209990387,29.9614887474269,23.58618,23.49717,22.02802,21.73948,20.92411,0,0,0
1237667254014247235,180.913076406568,29.78630118032,21.37345,20.36984,19.89683,19.65033,19.66117,0,0,0
1237667254014247236,180.914059018742,29.7883657338366,22.98998,21.29369,20.37295,19.96877,19.64273,0,0,0
1237667254014247710,180.913144869379,29.7513861897011,25.61623,22.64911,21.38184,20.9167,20.73228,0,0,0
1237667254014247711,180.912457529903,29.7679122997446,24.18781,22.73417,22.23028,21.59083,21.37892,0,0,0
1237667254014247715,180.913613842668,29.7757335810895,22.89948,21.89386,20.83721,20.28822,19.86142,0,0,0
1237667254014247718,180.913061937598,29.8197635179063,23.27915,22.33586,21.64582,21.20951,21.01407,0,0,0
1237667254014247720,180.912616928903,29.8492719458259,22.75247,22.29089,21.59134,21.21333,21.6247,0,0,0
1237667254014247722,180.912721011194,29.8677577376005,23.24238,22.02861,21.77879,21.32498,20.7414,0,0,0
1237667254014247723,180.912892862075,29.8650880641035,25.483,22.701,22.24014,21.93782,21.60047,0,0,0
1237667254014247726,180.913086692725,29.922096916566,25.31329,22.20917,20.37054,19.42661,18.75912,0,0,0
1237667254014247893,180.819581517193,29.7745965908165,23.71036,23.25311,22.27087,21.95124,21.78121,0,0,0
1237667254014247897,180.820374736849,29.7843037434373,23.14354,23.88568,22.42432,22.05449,21.5614,0,0,0
1237667254014247898,180.820303041124,29.8113106607342,25.58109,23.30107,22.18715,21.15904,20.50142,0,0,0
1237667254014247909,180.821058884938,29.8978896225276,23.52862,23.68733,22.20607,21.12433,21.18568,0,0,0
1237667254014248058,180.912857134555,29.8273976038306,24.23969,23.55591,22.44407,22.38955,22.07873,0,0,0
1237667254014248062,180.913475010148,29.8867830765609,23.32511,23.7069,22.36075,22.11622,22.23719,0,0,0
1237667254014248142,180.821359704947,29.7794384881526,25.28907,23.45055,22.66415,21.93236,22.19836,0,0,0
1237667254014248143,180.821154919022,29.782531473841,25.86502,24.15533,23.63978,22.36929,22.86648,0,0,0
1237667254014248145,180.820513270139,29.9027701779099,24.67148,23.64868,23.16896,22.04564,21.56029,0,0,0
1237667254014248146,180.819851557887,29.9213868196851,24.14094,25.89708,23.16571,21.93144,21.5504,0,0,0
1237667254014248231,180.819945592522,29.7982848082195,25.18251,25.39905,24.43246,24.16201,20.6071,0,0,0
1237667254014248243,180.913167599863,29.8434895797943,23.28264,24.46543,25.89126,24.26965,20.10128,0,0,0
1237667211601576632,180.824668299461,29.9378326926621,25.99776,22.59516,21.63533,21.24265,20.21318,0,0,0
1237667211601576635,180.825215700096,29.9416746293245,24.25764,22.685,21.6141,21.0661,20.99511,0,0,0
1237667211601576641,180.825380165915,29.9767000238957,22.41726,20.20898,18.90421,18.39535,18.03436,0,0,0
1237667211601641686,180.917392994168,29.9557368588707,21.92773,21.30495,20.19683,19.72279,19.34898,0,0,0
1237667211601641687,180.917062138083,29.953870457914,21.93591,22.19533,21.78834,21.69763,21.2854,0,0,0
1237667211601641868,180.917961015753,29.9470298356468,23.3973,23.09589,22.2242,21.92808,21.20447,0,0,0
1237667254014247063,180.916847679761,29.8611929832524,20.47511,18.5576,17.5265,17.08551,16.7417,0,0,0
1237667254014247064,180.918723704743,29.8621277461988,24.10363,22.93331,22.25581,21.39072,20.83214,0,0,0
1237667254014247242,180.917475740628,29.7736830738605,21.41684,20.10567,19.5776,19.31232,19.22454,0,0,0
1237667254014247243,180.917947908071,29.773787794315,22.91999,22.49926,22.53506,22.13349,22.71718,0,0,0
1237667254014247437,180.824406890971,29.8845015722537,23.71908,22.75062,22.31225,22.02624,21.97821,0,0,0
1237667254014247445,180.826149488665,29.8859676691355,22.3881,22.39046,22.58204,22.16538,22.22467,0,0,0
1237667254014247725,180.918269813723,29.7637872248209,22.91072,22.63377,21.6749,20.76177,20.33608,0,0,0
1237667254014247728,180.917741932406,29.8276740900658,23.22379,23.11089,22.5973,22.34855,23.41062,0,0,0
1237667254014247733,180.91826758502,29.907424259132,24.70805,22.13255,21.05545,20.66554,20.74048,0,0,0
1237667254014247735,180.918675696559,29.9204236344753,23.85252,21.88889,20.40734,19.78913,19.38996,0,0,0
1237667254014247906,180.825141523419,29.760298210046,26.12989,23.54505,22.31553,21.43203,21.4799,0,0,0
1237667254014247908,180.825531377588,29.7800992433549,23.56993,23.45091,22.31524,21.45312,21.179,0,0,0
1237667254014247911,180.824525328825,29.8355636021241,22.32437,23.11467,21.44259,21.35923,21.11869,0,0,0
1237667254014247919,180.826357198887,29.9288778690546,24.87627,23.75344,22.56183,22.04475,21.72942,0,0,0
1237667254014248061,180.918394729652,29.7524953933896,24.85906,23.5966,22.27603,23.04363,23.6714,0,0,0
1237667254014248063,180.918844697379,29.7792134136724,24.43954,24.04584,22.89171,23.25405,21.80228,0,0,0
1237667254014248064,180.917896481097,29.808585200919,23.64771,23.22129,22.96335,22.83892,22.86116,0,0,0
1237667254014248066,180.918677107713,29.8215477297965,23.8604,23.29097,22.50187,22.11908,21.53652,0,0,0
1237667254014248069,180.919026436823,29.8643940041474,25.34164,23.91392,22.40425,21.91817,22.83221,0,0,0
1237667254014248072,180.918822546258,29.9298725991034,24.21107,22.99891,21.18198,20.18292,19.68767,0,0,0
1237667254014248197,180.91800384845,29.8019855340835,24.09352,24.25869,22.84896,21.77575,21.55843,0,0,0
1237667254014248202,180.919009273401,29.8795368976975,24.9862,24.92029,24.20649,21.87782,22.41594,0,0,0
1237667254014248267,180.824950637504,29.8499032350204,23.00909,24.03718,23.48924,22.12193,22.89328,0,0,0
1237667211601576091,180.815959984522,29.9866783561229,20.86152,18.91215,17.82408,17.39703,17.04263,0,0,0
1237667211601576092,180.815492377197,29.9885240345301,20.13103,18.29415,17.22581,16.75735,16.42962,0,0,0
1237667211601576094,180.814892833553,29.9914162377122,23.89672,21.82357,20.17782,19.63952,19.23028,0,0,0
1237667211601576095,180.815757013647,29.9845807454514,24.17139,23.66111,22.69415,23.42541,22.43056,0,0,0
1237667211601576608,180.816071756253,29.9730121319667,22.46326,21.81458,21.40058,21.18478,21.81687,0,0,0
1237667211601576610,180.816452058994,29.9634649309831,24.5596,23.32938,22.01782,21.62271,21.50142,0,0,0
1237667211601576611,180.815542810691,29.9644407067478,24.35917,24.54604,22.82383,23.16946,22.36843,0,0,0
1237667211601576615,180.816973250099,29.9992306217861,24.47603,23.3436,24.42686,23.39477,21.83679,0,0,0
1237667211601576996,180.816969961584,29.9435479989788,23.98118,23.5903,22.76908,21.76347,21.0833,0,0,0
1237667211601641831,180.90649378629,29.9461662117146,25.48715,23.13908,23.29865,23.39699,22.98054,0,0,0
1237667211601641832,180.90644451491,29.9541774402657,24.65972,23.22165,22.20644,22.08969,22.16187,0,0,0
1237667211601642415,180.905217919129,29.9405071405137,24.73347,23.90858,22.25686,21.56789,21.23063,0,0,0
1237667211601642416,180.906735308083,29.9397311075343,23.61582,23.59433,21.96053,21.93464,22.73376,0,0,0
1237667254014247170,180.815228292079,29.9078761705656,23.79625,22.76291,23.09657,20.9267,22.7598,0,0,0
1237667254014247171,180.81558108055,29.9080936580923,21.39361,20.09114,19.60432,19.40291,19.22702,0,0,0
1237667254014247173,180.815619785188,29.9085383152637,21.96956,21.93904,21.58519,21.30345,22.88314,0,0,0
1237667254014247408,180.81528907546,29.789619283495,23.80493,21.00721,20.71505,20.85329,20.65094,0,0,0
1237667254014247409,180.816394565936,29.7879047557023,25.04729,22.63698,22.27191,23.23027,22.89545,0,0,0
1237667254014247411,180.817105961998,29.7992650617587,21.97682,21.05057,19.9502,19.46651,19.12052,0,0,0
1237667254014247412,180.815613388441,29.8471327485983,22.64793,21.04751,20.67146,20.50982,20.47213,0,0,0
1237667254014247414,180.816713448199,29.8263601792798,23.04336,22.62888,22.18302,22.4511,21.96734,0,0,0
